Wavelength,Absorbance,Types
232,1.498,Transformer Oil
204.545,2.089,Transformer Oil
238.5,0.668,Transformer Oil
270.588,0.539,Peppermint Oil
261.021,0.037,Flaxseed Oil
268.021,0.045,Flaxseed Oil
518.982,0.818,Olive Oil
368.572,0.126,Dershani Oil
231.302,0.074,Flaxseed Oil
212.061,2.748,Transformer Oil
301.182,0.027,Sesame Oil
464.208,0.069,Dershani Oil
254.058,1.346,Olive Oil
299.518,0.03,Sesame Oil
331.224,3.451,Sunflower Oil
370.81,0.136,Cannabis Oil
315.789,0.114,Refined Oil
243.351,0.048,Flaxseed Oil
238.158,0.211,Crude Oil
312.197,0.016,Sesame Oil
393.035,0.115,Orange Oil
259.477,1.223,Peppermint Oil
270.143,0.079,Sesame Oil
243.322,0.091,Sesame Oil
206.326,0.789,Sunflower Oil
377.843,0.101,Coconut Oil
800.413,0.438,Olive Oil
330.614,0.009,Sesame Oil
752.412,9.28E-04,Refined Oil
297.545,0.087,Paraffin Oil
374.303,0.005,Sesame Oil
361.348,2.106,Olive Oil
211.394,2.693,Transformer Oil
423.026,0.478,Refined Oil
423.275,0.081,Dershani Oil
379.811,0.005,Sesame Oil
721.272,9.28E-04,Refined Oil
258.985,0.067,Sesame Oil
449.696,0.065,Sunflower Oil
469.079,0.596,Crude Oil
271.52,0.078,Sesame Oil
290,0.45,Cannabis Oil
272.553,0.077,Sesame Oil
306.899,0.993,Orange Oil
303.305,0.024,Sesame Oil
800.413,0.433,Sunflower Oil
206.061,2.257,Transformer Oil
500.658,0.361,Crude Oil
283.091,0.307,Transformer Oil
363.436,0.137,Cannabis Oil
319.532,3.411,Canola Oil
328.262,0.01,Sesame Oil
357.634,2.654,Sunflower Oil
286.614,0.25,Transformer Oil
325.852,0.01,Sesame Oil
231.939,1.548,Transformer Oil
331.276,0.832,Orange Oil
380.47,9.96E-04,Flaxseed Oil
267.045,0.507,Transformer Oil
263.087,0.068,Sesame Oil
489.474,0.582,Refined Oil
223.155,0.119,Flaxseed Oil
368.25,0.081,Paraffin Oil
340.826,0.002,Flaxseed Oil
482.669,2.359,Olive Oil
272.61,0.048,Flaxseed Oil
562.5,0.008,Refined Oil
240.052,0.101,Sesame Oil
229.466,0.08,Flaxseed Oil
385.577,0.005,Sesame Oil
296.453,0.364,Raspberry Oil
242.636,0.433,Transformer Oil
289.019,0.053,Sesame Oil
353.735,0.006,Sesame Oil
211.273,2.656,Transformer Oil
270.332,0.228,Sunflower Oil
237.986,0.106,Sesame Oil
226.942,0.089,Flaxseed Oil
372.549,0.32,Peppermint Oil
200.545,1.674,Transformer Oil
240.273,0.526,Transformer Oil
281.618,0.074,Sesame Oil
308.985,0.019,Flaxseed Oil
220.22,2.137,Olive Oil
230.97,1.707,Transformer Oil
305.939,0.076,Transformer Oil
307.263,0.019,Sesame Oil
349.794,1.937,Canola Oil
235.526,0.271,Refined Oil
344.795,0.508,Orange Oil
469.079,0.682,Refined Oil
415.132,0.394,Refined Oil
212.5,0.233,Refined Oil
229.03,2.019,Transformer Oil
201.273,1.75,Transformer Oil
477.124,0.28,Peppermint Oil
237.273,0.754,Transformer Oil
549.794,0.442,Canola Oil
299.848,0.108,Transformer Oil
280.818,0.364,Transformer Oil
339.89,2.158,Olive Oil
233.409,1.3,Transformer Oil
604.402,0.433,Sunflower Oil
274.227,0.461,Transformer Oil
370.373,0.001,Flaxseed Oil
359.889,0.183,Dershani Oil
233.333,1.7,Peppermint Oil
376.316,0.149,Crude Oil
292.435,3.367,Sunflower Oil
280.007,0.516,Dershani Oil
256.403,0.064,Sesame Oil
210.667,2.62,Transformer Oil
226.848,2.381,Transformer Oil
612.242,0.649,Olive Oil
248.858,0.039,Flaxseed Oil
222.788,2.781,Transformer Oil
667.125,0.438,Sunflower Oil
217.647,1.055,Peppermint Oil
279.455,0.393,Transformer Oil
408.769,0.004,Sesame Oil
394.572,0.181,Carrot seed Oil
290.08,0.133,Coconut Oil
399.744,0.123,Raspberry Oil
354.218,0.104,Coconut Oil
207.07,0.661,Sunflower Oil
321.437,0.794,Dershani Oil
292.157,0.384,Peppermint Oil
302.035,0.121,Coconut Oil
392.117,0.005,Sesame Oil
282.118,2.018,Canola Oil
235.352,0.929,Dershani Oil
391.472,1.098,Sunflower Oil
538.514,0.442,Canola Oil
499.673,0.286,Peppermint Oil
200,1.103,Sunflower Oil
538.816,0.015,Crude Oil
305.972,0.021,Sesame Oil
522.558,0.442,Canola Oil
534.868,0.033,Refined Oil
232.679,0.071,Flaxseed Oil
396.159,0.122,Raspberry Oil
217.03,2.856,Transformer Oil
241.515,0.052,Flaxseed Oil
405.041,0.079,Sunflower Oil
249.091,0.392,Transformer Oil
389.966,7.79E-04,Flaxseed Oil
229.811,0.118,Sesame Oil
207.758,2.383,Transformer Oil
317.59,0.01,Flaxseed Oil
271.773,0.476,Transformer Oil
254.596,0.062,Sesame Oil
336.184,0.163,Refined Oil
410.878,0.004,Sesame Oil
266.586,0.073,Sesame Oil
